key,0,1,2,3,4,5,6,7
40,191410,82092,5,152,0,0,3204,"第1賽季水晶衝突：鑽石"
41,191411,82092,5,153,0,0,3203,"第1賽季水晶衝突：水晶"
42,191901,82092,7,154,0,0,4000,"COMPANION 特典1"
43,191902,82092,7,155,0,0,4001,"COMPANION 特典2"
44,191701,82092,4,319,0,0,2500,"巴哈姆特絕境戰"
45,191702,82092,4,320,0,0,2501,"究極神兵絕境戰"
46,191703,82092,4,321,0,0,2502,"亞歷山大絕境戰"
47,191704,82092,4,322,0,0,2503,"幻想龍詩絕境戰"
48,191412,82092,5,323,0,0,3210,"第2賽季水晶衝突：王者"
49,191413,82092,5,324,0,0,3211,"第2賽季水晶衝突：勇者"
50,191414,82092,5,325,0,0,3212,"第2賽季水晶衝突：獲獎者"
51,191415,82092,5,326,0,0,3218,"第2賽季水晶衝突：青銅"
52,191416,82092,5,327,0,0,3217,"第2賽季水晶衝突：白銀"
53,191417,82092,5,328,0,0,3216,"第2賽季水晶衝突：黃金"
54,191418,82092,5,329,0,0,3215,"第2賽季水晶衝突：白金"
55,191419,82092,5,330,0,0,3214,"第2賽季水晶衝突：鑽石"
56,191420,82092,5,331,0,0,3213,"第2賽季水晶衝突：水晶"
57,191421,82092,5,332,0,0,3220,"第3賽季水晶衝突：王者"
58,191422,82092,5,333,0,0,3221,"第3賽季水晶衝突：勇者"
59,191423,82092,5,334,0,0,3222,"第3賽季水晶衝突：獲獎者"
60,191424,82092,5,335,0,0,3228,"第3賽季水晶衝突：青銅"
61,191425,82092,5,336,0,0,3227,"第3賽季水晶衝突：白銀"
62,191426,82092,5,337,0,0,3226,"第3賽季水晶衝突：黃金"
63,191427,82092,5,338,0,0,3225,"第3賽季水晶衝突：白金"
64,191428,82092,5,339,0,0,3224,"第3賽季水晶衝突：鑽石"
65,191429,82092,5,340,0,0,3223,"第3賽季水晶衝突：水晶"
66,191430,82092,5,341,0,0,3002,"水晶衝突：藍色"
67,191431,82092,5,342,0,0,3003,"水晶衝突：紅色"
68,191705,82092,4,343,0,0,2400,"多變迷宮：希拉狄哈水道"
69,191016,82092,1,1,0,0,32,"漫畫頁面"
70,191019,82092,1,1,0,0,6,"金屬邊框：拱形"
71,191020,82092,1,1,0,0,33,"膠卷"
72,191012,82092,1,1,0,0,31,"集中線"
73,191013,82092,1,1,0,0,30,"黑霧"
74,191017,82092,1,1,0,0,22,"黑色花邊"
75,191018,82092,1,1,0,0,23,"白色花邊"
76,191014,82092,1,1,0,0,11,"普通品質"
77,191015,82092,1,1,0,0,12,"優質"
78,191432,82092,5,409,0,0,3230,"第4賽季水晶衝突：王者"
79,191433,82092,5,410,0,0,3231,"第4賽季水晶衝突：勇者"
80,191434,82092,5,411,0,0,3232,"第4賽季水晶衝突：獲獎者"
81,191440,82092,5,412,0,0,3233,"第4賽季水晶衝突：水晶"
82,191439,82092,5,413,0,0,3234,"第4賽季水晶衝突：鑽石"
83,191438,82092,5,414,0,0,3235,"第4賽季水晶衝突：白金"
84,191437,82092,5,415,0,0,3236,"第4賽季水晶衝突：黃金"
85,191436,82092,5,416,0,0,3237,"第4賽季水晶衝突：白銀"
86,191435,82092,5,417,0,0,3238,"第4賽季水晶衝突：青銅"
87,191441,82092,5,418,0,0,3240,"第5賽季水晶衝突：王者"
88,191442,82092,5,419,0,0,3241,"第5賽季水晶衝突：勇者"
89,191443,82092,5,420,0,0,3242,"第5賽季水晶衝突：獲獎者"
90,191449,82092,5,421,0,0,3243,"第5賽季水晶衝突：水晶"
91,191448,82092,5,422,0,0,3244,"第5賽季水晶衝突：鑽石"
92,191447,82092,5,423,0,0,3245,"第5賽季水晶衝突：白金"
93,191446,82092,5,424,0,0,3246,"第5賽季水晶衝突：黃金"
94,191445,82092,5,425,0,0,3247,"第5賽季水晶衝突：白銀"
95,191444,82092,5,426,0,0,3248,"第5賽季水晶衝突：青銅"
96,191450,82092,5,427,0,0,3004,"獵隼陣營"
97,191451,82092,5,428,0,0,3005,"渡鴉陣營"
98,191706,82092,4,434,0,0,2504,"歐米茄絕境驗證戰"
99,191707,82092,3,467,0,0,2251,"第七星曆編年史：四聖獸奇譚"
100,191708,82092,8,468,0,0,2340,"開拓無人島1"
101,191709,82092,8,469,0,0,2341,"開拓無人島2"
102,191452,82092,5,502,0,0,3249,"第6賽季水晶衝突：王者"
103,191453,82092,5,503,0,0,3250,"第6賽季水晶衝突：勇者"
104,191454,82092,5,504,0,0,3251,"第6賽季水晶衝突：獲獎者"
105,191460,82092,5,505,0,0,3252,"第6賽季水晶衝突：水晶"
106,191459,82092,5,506,0,0,3253,"第6賽季水晶衝突：鑽石"
107,191458,82092,5,507,0,0,3254,"第6賽季水晶衝突：白金"
108,191457,82092,5,508,0,0,3255,"第6賽季水晶衝突：黃金"
109,191456,82092,5,509,0,0,3256,"第6賽季水晶衝突：白銀"
110,191455,82092,5,510,0,0,3257,"第6賽季水晶衝突：青銅"
111,191461,82092,5,511,0,0,3258,"第7賽季水晶衝突：王者"
112,191462,82092,5,512,0,0,3259,"第7賽季水晶衝突：勇者"
113,191463,82092,5,513,0,0,3260,"第7賽季水晶衝突：獲獎者"
114,191469,82092,5,514,0,0,3261,"第7賽季水晶衝突：水晶"
115,191468,82092,5,515,0,0,3262,"第7賽季水晶衝突：鑽石"
116,191467,82092,5,516,0,0,3263,"第7賽季水晶衝突：白金"
117,191466,82092,5,517,0,0,3264,"第7賽季水晶衝突：黃金"
118,191465,82092,5,518,0,0,3265,"第7賽季水晶衝突：白銀"
119,191464,82092,5,519,0,0,3266,"第7賽季水晶衝突：青銅"
120,191470,82092,5,520,0,0,3006,"東方風外框1"
121,191471,82092,5,521,0,0,3007,"東方風外框2"
122,191320,82092,2,522,0,0,2021,"青魔法師"
123,191710,82092,7,523,0,0,3950,"10週年紀念"
124,191711,82092,4,528,0,0,2401,"多變迷宮：六根山"
125,191712,82092,8,529,0,0,2342,"海釣愛好者"
126,191713,82092,8,530,0,0,2343,"願者上鉤"
127,191714,82092,8,531,0,0,2360,"運籌帷幄"
128,191715,82092,3,527,0,0,2250,"時代的終結"
129,191490,82092,5,578,0,0,3008,"角力學校"
130,191491,82092,5,579,0,0,3009,"九霄雲上"
131,191472,82092,5,580,0,0,3267,"第8賽季水晶衝突：王者"
132,191473,82092,5,581,0,0,3268,"第8賽季水晶衝突：勇者"
133,191474,82092,5,582,0,0,3269,"第8賽季水晶衝突：獲獎者"
134,191480,82092,5,583,0,0,3270,"第8賽季水晶衝突：水晶"
135,191479,82092,5,584,0,0,3271,"第8賽季水晶衝突：鑽石"
136,191478,82092,5,585,0,0,3272,"第8賽季水晶衝突：白金"
137,191477,82092,5,586,0,0,3273,"第8賽季水晶衝突：黃金"
138,191476,82092,5,587,0,0,3274,"第8賽季水晶衝突：白銀"
139,191475,82092,5,588,0,0,3275,"第8賽季水晶衝突：青銅"
140,191481,82092,5,589,0,0,3276,"第9賽季水晶衝突：王者"
141,191482,82092,5,590,0,0,3277,"第9賽季水晶衝突：勇者"
142,191483,82092,5,591,0,0,3278,"第9賽季水晶衝突：獲獎者"
143,191489,82092,5,592,0,0,3279,"第9賽季水晶衝突：水晶"
144,191488,82092,5,593,0,0,3280,"第9賽季水晶衝突：鑽石"
145,191487,82092,5,594,0,0,3281,"第9賽季水晶衝突：白金"
146,191486,82092,5,595,0,0,3282,"第9賽季水晶衝突：黃金"
147,191485,82092,5,596,0,0,3283,"第9賽季水晶衝突：白銀"
148,191484,82092,5,597,0,0,3284,"第9賽季水晶衝突：青銅"
149,191492,82092,5,598,0,0,3285,"第10賽季水晶衝突：王者"
150,191493,82092,5,599,0,0,3286,"第10賽季水晶衝突：勇者"
151,191494,82092,5,600,0,0,3287,"第10賽季水晶衝突：獲獎者"
152,191500,82092,5,601,0,0,3288,"第10賽季水晶衝突：水晶"
153,191499,82092,5,602,0,0,3289,"第10賽季水晶衝突：鑽石"
154,191498,82092,5,603,0,0,3290,"第10賽季水晶衝突：白金"
155,191497,82092,5,604,0,0,3291,"第10賽季水晶衝突：黃金"
156,191496,82092,5,605,0,0,3292,"第10賽季水晶衝突：白銀"
157,191495,82092,5,606,0,0,3293,"第10賽季水晶衝突：青銅"
158,191718,82092,3,572,0,0,2252,"艾歐澤亞神話"
159,191719,82092,4,574,0,0,2402,"多變迷宮：阿羅阿羅島"
160,191716,82092,8,570,0,0,2361,"天書奇談"
161,191717,82092,8,571,0,0,2362,"幻巧拼圖"
162,191720,82092,7,575,0,0,3951,"金碟巨豆中心1"
163,191721,82092,7,576,0,0,3952,"金碟巨豆中心2"
164,191722,82092,7,577,0,0,3953,"金碟巨豆中心3"
165,191723,82092,7,607,0,0,3954,"妖怪手錶"
166,191321,82092,2,681,0,0,2013,"蝰蛇劍士"
167,191322,82092,2,682,0,0,2020,"繪靈法師"
168,191501,82092,5,683,0,0,3010,"火山之心"
169,191502,82092,5,684,0,0,3011,"機關大殿"
170,191503,82092,5,685,0,0,3294,"第11賽季水晶衝突：王者"
171,191504,82092,5,686,0,0,3295,"第11賽季水晶衝突：勇者"
172,191505,82092,5,687,0,0,3296,"第11賽季水晶衝突：獲獎者"
173,191511,82092,5,688,0,0,3297,"第11賽季水晶衝突：水晶"
174,191510,82092,5,689,0,0,3298,"第11賽季水晶衝突：鑽石"
175,191509,82092,5,690,0,0,3299,"第11賽季水晶衝突：白金"
176,191508,82092,5,691,0,0,3300,"第11賽季水晶衝突：黃金"
177,191507,82092,5,692,0,0,3301,"第11賽季水晶衝突：白銀"
178,191506,82092,5,693,0,0,3302,"第11賽季水晶衝突：青銅"
179,191662,82092,9,701,0,0,1036,"圖萊尤拉1"
180,191663,82092,9,702,0,0,1037,"圖萊尤拉2"
181,191664,82092,9,699,0,0,1038,"九號解決方案1"
182,191665,82092,9,700,0,0,1039,"九號解決方案2"
183,191512,82092,5,756,0,0,3013,"シールロック"
184,191513,82092,5,757,0,0,3012,"レッド・サンズ"
185,191514,82092,5,758,0,0,3303,"クリスタルコンフリクト：王者S12"
186,191515,82092,5,759,0,0,3304,"クリスタルコンフリクト：勇者S12"
187,191516,82092,5,760,0,0,3305,"クリスタルコンフリクト：入賞者S12"
188,191522,82092,5,761,0,0,3306,"クリスタルコンフリクト：クリスタルS12"
189,191521,82092,5,762,0,0,3307,"クリスタルコンフリクト：ダイヤモンドS12"
190,191520,82092,5,763,0,0,3308,"クリスタルコンフリクト：プラチナS12"
191,191519,82092,5,764,0,0,3309,"クリスタルコンフリクト：ゴールドS12"
192,191518,82092,5,765,0,0,3310,"クリスタルコンフリクト：シルバーS12"
193,191517,82092,5,766,0,0,3311,"クリスタルコンフリクト：ブロンズS12"
194,191654,82092,9,768,0,0,1020,"イシュガルド1"
195,191672,82092,9,769,0,0,1021,"イシュガルド2"
196,191655,82092,9,770,0,0,1022,"イディルシャイア1"
197,191673,82092,9,771,0,0,1023,"イディルシャイア2"
198,191656,82092,9,772,0,0,1024,"クガネ1"
199,191668,82092,9,773,0,0,1025,"クガネ2"
200,191657,82092,9,774,0,0,1026,"ラールガーズリーチ1"
201,191669,82092,9,775,0,0,1027,"ラールガーズリーチ2"
202,191658,82092,9,776,0,0,1028,"クリスタリウム1"
203,191670,82092,9,777,0,0,1029,"クリスタリウム2"
204,191659,82092,9,778,0,0,1030,"ユールモア1"
205,191671,82092,9,779,0,0,1031,"ユールモア2"
206,191660,82092,9,780,0,0,1032,"オールド・シャーレアン1"
207,191666,82092,9,781,0,0,1033,"オールド・シャーレアン2"
208,191661,82092,9,782,0,0,1034,"ラザハン1"
209,191667,82092,9,783,0,0,1035,"ラザハン2"
210,0,0,0,0,0,0,0,""
211,0,0,0,0,0,0,0,""
212,0,0,0,0,0,0,0,""
213,0,0,0,0,0,0,0,""
214,0,0,0,0,0,0,0,""
215,0,0,0,0,0,0,0,""
216,0,0,0,0,0,0,0,""
217,0,0,0,0,0,0,0,""
218,0,0,0,0,0,0,0,""
219,0,0,0,0,0,0,0,""
220,0,0,0,0,0,0,0,""
